municity,psgc_municity,pop2010,pop2000,pop1990
Taguig City,PH137607000,644473,467375,266637
Pateros,PH137606000,64147,57407,51409
Pasay City,PH137605000,392869,354908,368366
Parañaque City,PH137604000,588126,449811,308236
Muntinlupa City,PH137603000,459941,379310,278411
Makati City,PH137602000,529039,471379,453170
Las Piñas City,PH137601000,552573,472780,297102
Valenzuela City,PH137504000,575356,485433,340227
Navotas City,PH137503000,249131,230403,187479
Malabon City,PH137502000,353337,338855,280027
Caloocan City,PH137501000,1489040,1177604,763415
San Juan City,PH137405000,121430,117680,126854
Quezon City,PH137404000,2761720,2173831,1669776
Pasig City,PH137403000,669773,505058,397679
Marikina City,PH137402000,424150,391170,310227
Mandaluyong City,PH137401000,328699,278474,248143
Manila City,PH133900000,1652171,1581082,1601234
